sample_id,bus_id,CAIFI_FIC
0,0,1
0,1,2
0,2,0
0,3,1
0,4,1
0,5,0
0,6,1
0,7,5
0,8,0
0,9,1
0,10,0
0,11,1
0,12,2
0,13,5
0,14,1
0,15,0
0,16,5
0,17,0
0,18,1
0,19,2
0,20,6
0,21,0
0,22,1
0,23,1
0,24,0
0,25,5
0,26,5
0,27,3
0,28,3
0,29,2
0,30,4
0,31,0
0,32,1
0,33,4
0,34,5
0,35,2
0,36,1
0,37,2
0,38,0
0,39,0
0,40,1
0,41,1
0,42,1
0,43,0
0,44,0
0,45,1
0,46,0
0,47,3
0,48,3
0,49,1
0,50,4
0,51,2
0,52,2
0,53,0
0,54,0
0,55,1
0,56,0
0,57,2
0,58,2
0,59,0
0,60,0
0,61,1
0,62,0
0,63,1
0,64,2
0,65,3
0,66,1
0,67,4
0,68,3
0,69,2
0,70,0
0,71,1
0,72,1
0,73,0
0,74,1
0,75,0
0,76,3
0,77,3
0,78,1
0,79,0
0,80,2
0,81,1
0,82,1
0,83,0
0,84,2
0,85,1
0,86,1
0,87,2
0,88,1
0,89,2
0,90,6
0,91,12
0,92,6
0,93,0
0,94,0
0,95,0
0,96,2
0,97,0
0,98,2
0,99,1
0,100,0
0,101,1
0,102,4
0,103,3
0,104,3
0,105,2
0,106,1
0,107,0
0,108,1
0,109,3
0,110,0
0,111,1
0,112,5
0,113,5
0,114,1
0,115,2
0,116,0
0,117,1
1,0,1
1,1,0
1,2,5
1,3,3
1,4,1
1,5,3
1,6,2
1,7,4
1,8,1
1,9,3
1,10,1
1,11,1
1,12,3
1,13,0
1,14,0
1,15,0
1,16,7
1,17,0
1,18,4
1,19,1
1,20,2
1,21,1
1,22,0
1,23,1
1,24,0
1,25,6
1,26,3
1,27,2
1,28,0
1,29,0
1,30,3
1,31,0
1,32,1
1,33,1
1,34,3
1,35,2
1,36,0
1,37,1
1,38,2
1,39,2
1,40,1
1,41,1
1,42,0
1,43,1
1,44,2
1,45,1
1,46,1
1,47,1
1,48,0
1,49,0
1,50,1
1,51,0
1,52,0
1,53,4
1,54,2
1,55,2
1,56,2
1,57,3
1,58,2
1,59,1
1,60,1
1,61,1
1,62,2
1,63,0
1,64,0
1,65,3
1,66,2
1,67,1
1,68,7
1,69,0
1,70,0
1,71,1
1,72,1
1,73,0
1,74,2
1,75,0
1,76,1
1,77,1
1,78,1
1,79,0
1,80,2
1,81,1
1,82,2
1,83,0
1,84,1
1,85,3
1,86,1
1,87,1
1,88,7
1,89,2
1,90,0
1,91,0
1,92,2
1,93,0
1,94,0
1,95,0
